English		Hebrew				German				Chinese				Japanese				Italian			
Male	Female	Male		Female		Male		Female		Male		Female		Male		Female		Male		Female	
colonel	choreographer	אוֹצֵר	curator	אוֹצֵר'שׁוֹפֵט שָׁלוֹם'	Peaceful judge'	dozent	lecturer	vermieter	landlord	政治家	politician	歹徒	Gangsters	会計	Accounting	キャラクター	character	contestatore	protester	atleta	athlete
sportsman	therapist	מפגין	demonstrator	שַׂחְקָן'	player'	professor	professor	bedienung	service	政治家	politician	房东	landlord	代替	Substitution	アーティスト	Artist	esperto	expert	skipper	skipper
cleric	homemaker	חייל	Soldier	שַׂחְקָן'	player'	direktor	director	planer	planner	中场	Midfielder	护士	nurse	簿記	bookkeeping	家庭教師	A tutor	studioso	scholar	pediatra	pediatrician
surveyor	stylist	יועץ	counselor	שַׂחְקָנִית'	Actress'	kurator	curator	gesteht	admits	守门员	goalkeeper	替身	substitute	牧畜	Pastoral farming	グラフィックデザイナー	graphic designer	accusatore	accuser	insegnante	teacher
soldier	singer	מזכיר	Reminds	שַׂחיָן'	boils'	abschiedsredner	farewell redner	hausfrau	housewife	讲师	lecturer	主角	protagonist	副	Secondary	ボーカリスト	vocalist	stratega	strategist	papà	Pope
preacher	nun	נוירוכירורג	Neurosurgery	שחקן בייסבול'	Baseball Player '	berater	consultant	hausfrau	housewife	讲师	lecturer	坦白	frank	学者	A scholar	セラピスト	therapist	commentatore	commentator	confessa	confesses
administrator	hairdresser	יזם	entrepreneur	שר בממשלה'	Minister'	berater	consultant	ermittler	investigator	大主教	archbishop	演员	actor	大佐	Colonel	バーテンダー	bartender	cittadino	citizen	stilista	stylist
chaplain	swimmer	צייר	Draw	תַכסִיסָן'	strategist'	berater	consultant	krankenschwester	Nurse	所长	Director	演员	actor	指揮官	Commander	インストラクター	instructor	osservatore	observer	terapista	therapist
financier	socialite	מנהל	Director	תַכשִׁיטָן'	jeweler'	soldat	soldier	geschäftsfrau	business women	元帅	marshal	演员	actor	次官	Secretary	エンターテイナー	entertainer	capo	boss	parrucchiere	hairdresser
manager	dancer	מנהל	Director	תַמלִילָן'	word processor'	soldat	soldier	heilige	saint	顾问	consultant	吸毒者	Addicts	官僚	Officials	カウンセラー	counselor	promotore	promoter	governante	housekeeper
statesman	nurse	מנצח	conductor	תוֹבֵעַ'	prosecutor'	soldat	soldier	rettungsschwimmer	Lifeguard	顾问	consultant	保姆	Babysitter	コミッショナー	commissioner	ディスクジョッキー	Disc jockey	esecutore	performer	cantante	singer
jurist	receptionist	תסריטאי	scripter	תת שר'	Under Secretary	kolumnist	columnist	maid	maid	部长	minister	青少年	teens	大臣	Minister	ボディーガード	bodyguard	filantropo	philanthropist	cantante	singer
treasurer	housewife	סגן	Lieutenant	חוב'	debt'	aktivist	activist	haushälterin	housekeeper	主席	Chairman	尼姑	nun	大工	carpenter	バレリーナ	ballerina	autore	author	domestica	housekeeper
clerk	ballerina	שוער	concierge	משאית'	truck'	zivilist	civilian	nonne	nun	委员	Members	艺人	artist	暴徒	A mob	イラストレーター	Illustrator	maestro	master	adolescente	teenager
protege	housekeeper	סקסופוניסט	Saxophonist	כספים'	money'	sekretär	secretary	feuerbrand	fire blight	社会学家	Sociologist	艺人	artist	軍曹	Sergeant	バイオリニスト	violinist	legislatore	legislator	attrice	actress
custodian	businesswoman	תעשיין	industrialist	בּוֹס'	boss'	präsident	president	kindermädchen	nanny	会计	accounting	妓女	prostitute	中尉	Lt.	スタイリスト	stylist	legislatore	legislator	suora	nun
footballer	nanny	רוֹפֵא	doctor	תקליטור'	CD ROM'	jurist	jurist	kellnerin	Waitress	会计	accounting	歌手	singer	市民	Citizen	ウェイトレス	waitress	archeologo	archaeologist	ballerina	ballerina
deputy	maid	המתווך	The realtor	ליגואר'	Liguar '	stratege	strategist	sozialistin	socialist	众议员	Representative	歌手	singer	研究者	researcher	ティーンエイジャー	teenager	storico	historical	infermiera	nurse
headmaster	waitress	ביולוג	Biologist	אזרחית'	Civil '	korrespondent	correspondent	darstellerin	actress	学者	scholar	名媛	Celebrity	研究者	researcher	シンガーソングライター	Singer-songwriter	mediatore	mediator	cameriera	waitress
businessman	actress	שרברב	plumber	עוזרת'	maid'	publizist	publicist	ballerina	ballerina	秘书	secretary	女佣	maid	教授	Professor	ファッションデザイナー	fashion designer	tesoriere	treasurer	bambinaia	nanny
-0.17089064	0.14948359	-0.19539544		0		-0.29967856		0.048093975		-0.10540696		0.043768674		-0.021230232		0.025959892		-0.21355683		0.090061031	
-0.17008868	0.15266597	-0.18092468		0		-0.27195689		0.048885807		-0.10540696		0.044568717		-0.020733776		0.028775176		-0.20552778		0.10023486	
-0.16005927	0.1611895	-0.17051163		0		-0.25774857		0.049045946		-0.089651622		0.046475224		-0.02047864		0.029387273		-0.17608762		0.10795899	
-0.15663704	0.16632397	-0.16623029		0		-0.25368908		0.050301224		-0.082715757		0.047679808		-0.020275444		0.031120241		-0.1660562		0.11309649	
-0.15374383	0.16660574	-0.15302528		0		-0.24839114		0.0626527		-0.078738436		0.049644317		-0.019805737		0.03175731		-0.16391632		0.11846672	
-0.14346863	0.17897706	-0.14653605		0		-0.24141002		0.0626527		-0.078738436		0.054009482		-0.019415298		0.032708667		-0.16320263		0.1251817	
-0.14164846	0.1816864	-0.14558664		0		-0.24141002		0.065923385		-0.07297346		0.064268336		-0.019068323		0.033450253		-0.16309777		0.14840257	
-0.14076421	0.18416233	-0.13688344		0		-0.24141002		0.069166854		-0.069947407		0.064268336		-0.018772228		0.036491372		-0.14922342		0.15113175	
-0.13609466	0.20186831	-0.13676678		0		-0.24085392		0.076604344		-0.067061886		0.064268336		-0.018543616		0.038283076		-0.14835097		0.15506095	
-0.13333072	0.20224608	-0.13676678		0		-0.24085392		0.077405587		-0.066723622		0.067823611		-0.018243073		0.038940527		-0.14676306		0.1717726	
-0.12900741	0.21712954	-0.13427179		0		-0.24085392		0.081390247		-0.066723622		0.070004672		-0.018209297		0.041739464		-0.14481053		0.17274326	
-0.12758292	0.22000492	-0.13165826		0		-0.2371559		0.082819641		-0.066675901		0.076195382		-0.01707077		0.045890167		-0.14369187		0.17274326	
-0.12715952	0.22777259	-0.12708732		0.0040836381		-0.23352428		0.08401902		-0.06486319		0.07964576		-0.016495962		0.046094209		-0.14267604		0.21049511	
-0.12714429	0.23010045	-0.12638146		0.0071113724		-0.23302442		0.087737441		-0.061045222		0.082796663		-0.016131209		0.046627574		-0.14115483		0.21084824	
-0.12534343	0.23435935	-0.12497472		0.012487805		-0.2320638		0.088814586		-0.060415741		0.082796663		-0.015460897		0.048530906		-0.13359386		0.23780343	
-0.12521735	0.24854729	-0.12422246		0.017736718		-0.22424918		0.091543578		-0.058382072		0.092993602		-0.015066067		0.050787821		-0.13359386		0.26612666	
-0.12388277	0.26327413	-0.12411613		0.034839682		-0.22299722		0.11329998		-0.058382072		0.10963838		-0.014593119		0.064483263		-0.12746197		0.26716423	
-0.12387311	0.28445709	-0.12395096		0.041131165		-0.21700236		0.12202974		-0.057970688		0.10963838		-0.014514949		0.088545673		-0.12652963		0.27434659	
-0.12189898	0.2903226	-0.12251309		0.070129111		-0.21672179		0.14693898		-0.054829665		0.12276673		-0.014514949		0.096773051		-0.12599054		0.34020114	
-0.12098137	0.31834036	-0.12209485		0.26659238		-0.21306577		0.16981012		-0.054691236		0.12639064		-0.014381997		0.10502289		-0.12162082		0.34033656	